,latitude,longitude,property_type,room_type,bathrooms,bedrooms,minimum_nights,price
201,37.77498,-122.48287,House,Entire home/apt,3.5,5.0,30,475.0
202,37.75458,-122.40975,Apartment,Entire home/apt,1.5,2.0,9,282.0
203,37.75797,-122.4096,Apartment,Entire home/apt,1.5,2.0,4,240.0
204,37.75292,-122.41875,Guest suite,Private room,1.0,1.0,2,85.0
205,37.75316,-122.42125,House,Entire home/apt,2.0,3.0,7,450.0
206,37.76499,-122.44262,House,Entire home/apt,3.0,3.0,3,395.0
207,37.77431,-122.45236,Apartment,Entire home/apt,1.0,1.0,3,135.0
208,37.75192,-122.41365,Guest suite,Entire home/apt,1.0,1.0,2,150.0
209,37.7296,-122.42728,House,Private room,1.0,1.0,30,35.0
210,37.75697,-122.42727,House,Entire home/apt,2.5,3.0,4,450.0
211,37.76369,-122.45304,Guest suite,Entire home/apt,1.0,1.0,1,145.0
212,37.76646,-122.4432,Condominium,Entire home/apt,1.0,1.0,30,160.0
213,37.77571,-122.46296,Apartment,Entire home/apt,1.0,1.0,3,135.0
214,37.76284,-122.42443,Condominium,Entire home/apt,2.0,2.0,4,322.0
215,37.74781,-122.50316,Guest suite,Entire home/apt,1.0,1.0,1,153.0
216,37.75354,-122.43372,Apartment,Entire home/apt,1.0,1.0,30,170.0
217,37.7822,-122.404,Loft,Entire home/apt,1.5,1.0,30,175.0
218,37.74935,-122.43532,Guest suite,Entire home/apt,1.0,1.0,3,139.0
219,37.75305,-122.43465,House,Entire home/apt,1.0,2.0,30,275.0
220,37.78937,-122.42937,Loft,Entire home/apt,1.0,1.0,30,162.0
221,37.76063,-122.44618,Condominium,Private room,1.0,1.0,1,115.0
222,37.76739,-122.4493,Condominium,Entire home/apt,1.0,1.0,30,175.0
223,37.76411,-122.42159,House,Entire home/apt,1.0,3.0,3,350.0
224,37.77046,-122.44772,Apartment,Entire home/apt,1.0,1.0,30,152.0
225,37.80508,-122.44226,Apartment,Entire home/apt,1.0,1.0,30,135.0
226,37.73868,-122.42949,House,Entire home/apt,1.5,2.0,14,250.0
227,37.74387,-122.45375,House,Entire home/apt,2.0,3.0,2,410.0
228,37.75634,-122.40976,Cottage,Private room,1.0,1.0,2,80.0
229,37.74259,-122.42804,Guest suite,Entire home/apt,1.0,1.0,3,139.0
230,37.73341,-122.39274,House,Private room,1.0,1.0,1,50.0
231,37.77596,-122.44525,Apartment,Entire home/apt,1.0,1.0,5,160.0
232,37.79313,-122.40443,Hostel,Shared room,1.0,1.0,1,45.0
233,37.79421,-122.4031,Hostel,Shared room,1.0,1.0,1,45.0
234,37.7926,-122.40339,Hostel,Shared room,1.0,1.0,1,45.0
235,37.77031,-122.43242,Guest suite,Entire home/apt,1.0,1.0,3,150.0
236,37.73146,-122.45057,Apartment,Private room,1.0,1.0,30,57.0
237,37.71997,-122.45089,Bungalow,Entire home/apt,1.0,2.0,4,180.0
238,37.75925,-122.42306,Apartment,Entire home/apt,1.0,3.0,3,300.0
239,37.777,-122.43681,Condominium,Private room,1.0,1.0,3,110.0
240,37.80014,-122.42456,Apartment,Private room,1.0,1.0,30,70.0
241,37.72754,-122.44927,Bungalow,Private room,1.0,1.0,30,40.0
