,bedrooms,room_type_Private room,bathrooms,room_type_Shared room,latitude,property_type_House,minimum_nights,longitude,predicted,price,off,new_price
5900,1.0,0,1.0,0,37.78314,0,31,-122.38975,174.36690245672906,238.0,True,174.36690245672906
5901,2.0,0,1.0,0,37.7896,0,30,-122.42522,249.90080369438786,268.0,False,268.0
5902,2.0,0,2.0,0,37.78939,0,30,-122.41433,248.01996557027445,251.0,False,251.0
5903,0.0,0,1.0,0,37.78941,0,30,-122.42373,139.36726115107248,170.0,True,139.36726115107248
5904,1.0,0,1.0,0,37.78892,0,30,-122.39127,178.4920511082863,266.0,True,178.4920511082863
5905,1.0,0,1.0,0,37.78647,0,30,-122.41623,150.63238688660667,241.0,True,150.63238688660667
5906,2.0,0,2.0,0,37.75719,0,30,-122.38856,243.04887643127333,235.0,False,235.0
5907,2.0,0,1.0,0,37.7788,0,30,-122.43278,258.3571338869966,310.0,True,258.3571338869966
5908,1.0,0,1.0,0,37.74652,0,30,-122.43,144.63838746363598,257.0,True,144.63838746363598
5909,1.0,1,1.0,0,37.76736,0,4,-122.41632,93.03387620748903,80.0,False,80.0
5910,0.0,0,1.0,0,37.76617,0,30,-122.41748,141.31575876037914,88.0,True,141.31575876037914
5911,2.0,0,1.0,0,37.80001,0,30,-122.40599,229.30284009412415,198.0,True,229.30284009412415
5912,1.0,0,1.0,0,37.74072,1,1,-122.41863,135.67569106126984,200.0,True,135.67569106126984
5913,2.0,0,1.0,0,37.78232,0,30,-122.47288,249.25102194458495,128.0,True,249.25102194458495
5914,1.0,0,1.0,0,37.78355,0,30,-122.3905,175.17176946024557,231.0,True,175.17176946024557
5915,3.0,0,2.0,0,37.80177,0,30,-122.42967,311.79775324521177,325.0,False,325.0
5916,3.0,0,2.0,0,37.80245,0,30,-122.41405,352.4391367169233,193.0,True,352.4391367169233
5917,1.0,1,1.0,0,37.7511,0,1,-122.40843,107.74784038716383,150.0,True,107.74784038716383
5918,1.0,0,1.0,0,37.77573,0,31,-122.44513,160.86867998638442,100.0,True,160.86867998638442
5919,1.0,0,1.0,0,37.77329,0,30,-122.39147,173.73923285768115,192.0,False,192.0
5920,1.0,1,1.0,0,37.77768,0,1,-122.4233,136.16005835677913,130.0,False,130.0
5921,0.0,0,1.0,0,37.79072,0,30,-122.41367,135.55139925212669,134.0,False,134.0
5922,2.0,0,2.0,0,37.80229,0,30,-122.41853,251.9870284723491,317.0,True,251.9870284723491
5923,1.0,0,1.0,0,37.73586,0,2,-122.38288,150.61953500013914,99.0,True,150.61953500013914
5924,1.0,1,1.0,0,37.73744,1,2,-122.42634,87.28995788748547,105.0,False,105.0
5925,1.0,1,1.0,0,37.77649,0,3,-122.44175,100.11635865551516,120.0,False,120.0
5926,2.0,0,1.5,0,37.78738,0,30,-122.41914,240.20624087899554,220.0,False,220.0
5927,1.0,1,1.0,0,37.73883,1,2,-122.4265,88.72432023550864,90.0,False,90.0
5928,1.0,0,1.0,0,37.76831,0,30,-122.44325,166.6493489322413,120.0,True,166.6493489322413
5929,1.0,0,1.0,0,37.7279,0,30,-122.38985,147.63026100240467,95.0,True,147.63026100240467
5930,3.0,0,2.0,0,37.77461,0,1,-122.41034,444.82997439407296,475.0,True,444.82997439407296
5931,1.0,0,1.0,0,37.75878,0,5,-122.38941,162.01673032814543,135.0,True,162.01673032814543
5932,4.0,0,2.5,0,37.78236,1,4,-122.47443,417.4731687860873,795.0,True,417.4731687860873
5933,1.0,1,1.0,0,37.71804,1,30,-122.39251,73.5257231023599,80.0,False,80.0
5934,1.0,1,1.0,0,37.76676,0,2,-122.43137,101.18690131048558,277.0,True,101.18690131048558
5935,2.0,0,1.0,0,37.75885,0,30,-122.50803,253.39568219510096,150.0,True,253.39568219510096
5936,1.0,1,1.0,0,37.75431,1,30,-122.46003,64.38155476880759,51.0,False,51.0
5937,0.0,0,1.0,0,37.77943,0,1,-122.42154,145.03822730474218,140.0,False,140.0
5938,1.0,1,1.0,0,37.78727,0,30,-122.4164,68.20222622130582,55.0,False,55.0
5939,2.0,0,1.0,0,37.75432,0,1,-122.49981,238.3365197530283,80.0,True,238.3365197530283
5940,1.0,1,1.0,0,37.71528,1,31,-122.40577,71.11383575516419,85.0,False,85.0
5941,2.0,0,1.5,0,37.75533,0,1,-122.40117,274.42889558468136,499.0,True,274.42889558468136
5942,1.0,1,1.0,0,37.7555,0,1,-122.39986,132.76481695208528,269.0,True,132.76481695208528
5943,1.0,1,1.0,0,37.75531,0,1,-122.39954,132.53070584097415,199.0,True,132.53070584097415
5944,1.0,1,1.0,0,37.77063,1,2,-122.43112,86.7287332750028,79.0,False,79.0
5945,2.0,0,1.0,0,37.74065,0,1,-122.46497,211.49443867859688,220.0,False,220.0
5946,0.0,0,1.0,0,37.77382,0,30,-122.41245,133.14576839653498,128.0,False,128.0
5947,0.0,0,1.0,0,37.77294,0,30,-122.41243,132.66843075376727,128.0,False,128.0
5948,0.0,0,1.0,0,37.7742,0,30,-122.4131,133.56777322068683,128.0,False,128.0
5949,1.0,1,1.0,0,37.73036,1,30,-122.41852,54.296641472993805,90.0,True,54.296641472993805
5950,1.0,1,1.0,0,37.7313,1,2,-122.38267,72.64907006238226,69.0,False,69.0
5951,2.0,0,1.0,0,37.75506,0,30,-122.50491,239.7090508208046,138.0,True,239.7090508208046
5952,1.0,1,1.0,0,37.73102,1,30,-122.48915,60.70441967469862,50.0,False,50.0
5953,1.0,1,1.0,0,37.78832,0,30,-122.41611,70.76567416680075,55.0,False,55.0
5954,1.0,1,1.0,0,37.76968,1,2,-122.43097,89.07066655468603,79.0,False,79.0
5955,0.0,0,1.0,0,37.78898,0,30,-122.41897,140.24387355731113,94.0,True,140.24387355731113
5956,1.0,0,1.0,0,37.79015,0,2,-122.40625,215.89762339918673,99.0,True,215.89762339918673
5957,1.0,1,1.0,0,37.78066,0,1,-122.39807,114.30403077060208,199.0,True,114.30403077060208
5958,2.0,0,1.0,0,37.74708,0,3,-122.43636,237.41722957795136,100.0,True,237.41722957795136
5959,1.0,0,1.0,1,37.75884,0,30,-122.38984,58.94935775834058,50.0,False,50.0
5960,0.0,0,1.0,0,37.80101,0,30,-122.42182,141.79876044004476,160.0,False,160.0
